sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2023 PPR  1557072","2023 PPR  1557072","","15/08/2022","**","","-115.00","0.00","NZD","0.00","2023","202301","PPR","1557072 ITR","","13/07/2022","13/07/2022","ACE.006905114.0000002","2023.PPR.1557072","","0.00","","CG Invoices to be received account"
"","2023 PPR  1557073","2023 PPR  1557073","","15/08/2022","**","","-115.00","0.00","NZD","0.00","2023","202301","PPR","1557073 ITR","","13/07/2022","13/07/2022","ACE.006905114.0000004","2023.PPR.1557073","","0.00","","CG Invoices to be received account"
"","2023 PPR  1557074","2023 PPR  1557074","","15/08/2022","**","","-115.00","0.00","NZD","0.00","2023","202301","PPR","1557074 ITR","","13/07/2022","13/07/2022","ACE.006905114.0000006","2023.PPR.1557074","","0.00","","CG Invoices to be received account"
"","2023 PPR  1559978","2023 PPR  1559978","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1559978 ITR","","20/07/2022","20/07/2022","ACE.006907187.0000002","2023.PPR.1559978","","0.00","","CG Invoices to be received account"
"","2023 PPR  1562520","2023 PPR  1562520","","15/08/2022","**","","-398.00","0.00","NZD","0.00","2023","202301","PPR","1562520 ITR","","26/07/2022","26/07/2022","ACE.006908528.0000002","2023.PPR.1562520","","0.00","","CG Invoices to be received account"
"","2023 PPR  1562566","2023 PPR  1562566","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1562566 ITR","","26/07/2022","26/07/2022","ACE.006908569.0000002","2023.PPR.1562566","","0.00","","CG Invoices to be received account"
"","2023 PPR  1563798","2023 PPR  1563798","","15/08/2022","**","","-398.00","0.00","NZD","0.00","2023","202301","PPR","1563798 ITR","","28/07/2022","28/07/2022","ACE.006909406.0000002","2023.PPR.1563798","","0.00","","CG Invoices to be received account"
"","2023 PPR  1563808","2023 PPR  1563808","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1563808 ITR","","28/07/2022","28/07/2022","ACE.006909417.0000002","2023.PPR.1563808","","0.00","","CG Invoices to be received account"
"","2023 PPR  1563809","2023 PPR  1563809","","15/08/2022","**","","-199.00","0.00","NZD","0.00","2023","202301","PPR","1563809 ITR","","28/07/2022","28/07/2022","ACE.006909422.0000002","2023.PPR.1563809","","0.00","","CG Invoices to be received account"
"","2023 PPR  1567256","2023 PPR  1567256","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1567256 ITR","","05/08/2022","05/08/2022","ACE.006911130.0000002","2023.PPR.1567256","","0.00","","CG Invoices to be received account"
"","2023 PPR  1569035","2023 PPR  1569035","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1569035 ITR","","10/08/2022","10/08/2022","ACE.006912125.0000004","2023.PPR.1569035","","0.00","","CG Invoices to be received account"
"","2023 PPR  1569043","2023 PPR  1569043","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1569043 ITR","","10/08/2022","10/08/2022","ACE.006912140.0000002","2023.PPR.1569043","","0.00","","CG Invoices to be received account"
"","2023 PPR  1569046","2023 PPR  1569046","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1569046 ITR","","10/08/2022","10/08/2022","ACE.006912149.0000002","2023.PPR.1569046","","0.00","","CG Invoices to be received account"
"","2023 PPR  1569055","2023 PPR  1569055","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1569055 ITR","","10/08/2022","10/08/2022","ACE.006912163.0000002","2023.PPR.1569055","","0.00","","CG Invoices to be received account"
"","2023 PPR  1569059","2023 PPR  1569059","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1569059 ITR","","10/08/2022","10/08/2022","ACE.006912167.0000002","2023.PPR.1569059","","0.00","","CG Invoices to be received account"
"","2023 PPR  1570393","2023 PPR  1570393","","15/09/2022","**","","-398.00","0.00","NZD","0.00","2023","202302","PPR","1570393 ITR","","12/08/2022","12/08/2022","ACE.006912930.0000002","2023.PPR.1570393","","0.00","","CG Invoices to be received account"
"","2023 PPR  1572781","2023 PPR  1572781","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1572781 ITR","","18/08/2022","18/08/2022","ACE.006914101.0000002","2023.PPR.1572781","","0.00","","CG Invoices to be received account"
"","2023 PPR  1572788","2023 PPR  1572788","","15/09/2022","**","","-199.00","0.00","NZD","0.00","2023","202302","PPR","1572788 ITR","","18/08/2022","18/08/2022","ACE.006914106.0000002","2023.PPR.1572788","","0.00","","CG Invoices to be received account"
"","2023 PPR  1579923","2023 PPR  1579923","","15/10/2022","**","","-199.00","0.00","NZD","0.00","2023","202303","PPR","1579923 ITR","","05/09/2022","05/09/2022","ACE.006917492.0000007","2023.PPR.1579923","","0.00","","CG Invoices to be received account"
"","2023 PPR  1580422","2023 PPR  1580422","","15/10/2022","**","","-199.00","0.00","NZD","0.00","2023","202303","PPR","1580422 ITR","","06/09/2022","06/09/2022","ACE.006917884.0000002","2023.PPR.1580422","","0.00","","CG Invoices to be received account"
"","2023 PPR  1580424","2023 PPR  1580424","","15/10/2022","**","","-199.00","0.00","NZD","0.00","2023","202303","PPR","1580424 ITR","","06/09/2022","06/09/2022","ACE.006917887.0000002","2023.PPR.1580424","","0.00","","CG Invoices to be received account"
